Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
p1k_00868	7461474.0	7085483.0	94.96	375991.0	5.04
p1k_00869	7929680.0	7651453.0	96.49	278227.0	3.51
p1k_00870	8408593.0	8089768.0	96.21	318825.0	3.79
p1k_00871	4700292.0	4510755.0	95.97	189537.0	4.03
p1k_00872	20053868.0	19129840.0	95.39	924028.0	4.61
p1k_00873	10442342.0	10234081.0	98.01	208261.0	1.99
p1k_00874	8941790.0	8585983.0	96.02	355807.0	3.98
p1k_00875	9332122.0	9017677.0	96.63	314445.0	3.37
p1k_00876	7750728.0	7475661.0	96.45	275067.0	3.55
p1k_00877	79090565.0	75775163.0	95.81	3315402.0	4.19
p1k_00878	12372442.0	12094598.0	97.75	277844.0	2.25
p1k_00879	19609847.0	18745480.0	95.59	864367.0	4.41
p1k_00880	11733892.0	10786609.0	91.93	947283.0	8.07
p1k_00881	10205753.0	9930372.0	97.3	275381.0	2.7
p1k_00882	12746265.0	12482261.0	97.93	264004.0	2.07
p1k_00883	13555921.0	13262881.0	97.84	293040.0	2.16
p1k_00884	12796515.0	12483058.0	97.55	313457.0	2.45
p1k_00885	11893593.0	11621313.0	97.71	272280.0	2.29
p1k_00886	12188565.0	1195275.0	9.81	10993290.0	90.19
p1k_00887	13015021.0	1338026.0	10.28	11676995.0	89.72
p1k_00888	12627923.0	1237570.0	9.8	11390353.0	90.2
p1k_00889	16604886.0	1654467.0	9.96	14950419.0	90.04
p1k_00890	10120105.0	9799325.0	96.83	320780.0	3.17
p1k_00891	8723280.0	8387404.0	96.15	335876.0	3.85
p1k_00892	5004584.0	4797700.0	95.87	206884.0	4.13
p1k_00893	6517891.0	6243877.0	95.8	274014.0	4.2
p1k_00894	5123832.0	4829484.0	94.26	294348.0	5.74
p1k_00895	5804703.0	5507298.0	94.88	297405.0	5.12
p1k_00896	6328714.0	5951940.0	94.05	376774.0	5.95
p1k_00897	6151503.0	5866531.0	95.37	284972.0	4.63
p1k_00898	6029187.0	5750044.0	95.37	279143.0	4.63
p1k_00899	6392043.0	6127229.0	95.86	264814.0	4.14
p1k_00900	5705015.0	5464117.0	95.78	240898.0	4.22
p1k_00901	4787399.0	4402792.0	91.97	384607.0	8.03
p1k_00902	5480204.0	5257501.0	95.94	222703.0	4.06
p1k_00903	5965119.0	5707295.0	95.68	257824.0	4.32
p1k_00904	5594916.0	5397094.0	96.46	197822.0	3.54
p1k_00905	8245778.0	7919803.0	96.05	325975.0	3.95
p1k_00906	9678479.0	9279820.0	95.88	398659.0	4.12
p1k_00907	11202244.0	10739169.0	95.87	463075.0	4.13
p1k_00908	9657697.0	9169481.0	94.94	488216.0	5.06
p1k_00909	8265440.0	7868789.0	95.2	396651.0	4.8
p1k_00910	8580010.0	7993981.0	93.17	586029.0	6.83
p1k_00911	11806257.0	11000332.0	93.17	805925.0	6.83
p1k_00912	8750303.0	8364114.0	95.59	386189.0	4.41
p1k_00913	9287585.0	8882424.0	95.64	405161.0	4.36
p1k_00914	9185433.0	8811608.0	95.93	373825.0	4.07
p1k_00915	8821212.0	8505966.0	96.43	315246.0	3.57
p1k_00916	8261270.0	7956092.0	96.31	305178.0	3.69
p1k_00917	11036630.0	10581721.0	95.88	454909.0	4.12
p1k_00918	9847447.0	9418991.0	95.65	428456.0	4.35
p1k_00919	7819513.0	7493313.0	95.83	326200.0	4.17
p1k_00920	10249516.0	9554698.0	93.22	694818.0	6.78
p1k_00921	6252291.0	5807665.0	92.89	444626.0	7.11
p1k_00922	15266989.0	14676824.0	96.13	590165.0	3.87
p1k_00923	17069322.0	16497356.0	96.65	571966.0	3.35
p1k_00924	15544257.0	14947863.0	96.16	596394.0	3.84
p1k_00925	16013563.0	15464127.0	96.57	549436.0	3.43
p1k_00926	15140471.0	14589441.0	96.36	551030.0	3.64
p1k_00927	14737340.0	14260366.0	96.76	476974.0	3.24
p1k_00928	17274561.0	16621908.0	96.22	652653.0	3.78
p1k_00929	14173806.0	13737879.0	96.92	435927.0	3.08
p1k_00930	1706529.0	1542600.0	90.39	163929.0	9.61
p1k_00931	1303134.0	1176292.0	90.27	126842.0	9.73
p1k_00932	5781811.0	5226578.0	90.4	555233.0	9.6
p1k_00933	4429295.0	4013486.0	90.61	415809.0	9.39
p1k_00934	3602031.0	3407868.0	94.61	194163.0	5.39
p1k_00935	4433216.0	4215189.0	95.08	218027.0	4.92
p1k_00936	4175576.0	3995878.0	95.7	179698.0	4.3
p1k_00937	7887642.0	7522627.0	95.37	365015.0	4.63
p1k_00938	1604182.0	1515275.0	94.46	88907.0	5.54
p1k_00939	2618303.0	2506956.0	95.75	111347.0	4.25
p1k_00940	1761934.0	1559355.0	88.5	202579.0	11.5
p1k_00941	1105272.0	938606.0	84.92	166666.0	15.08
p1k_00942	11472541.0	10171658.0	88.66	1300883.0	11.34
p1k_00943	3317179.0	3021223.0	91.08	295956.0	8.92
p1k_00944	2682375.0	2498483.0	93.14	183892.0	6.86
p1k_00945	2994112.0	2835004.0	94.69	159108.0	5.31
p1k_00946	3795222.0	3478963.0	91.67	316259.0	8.33
p1k_00947	6610258.0	6205296.0	93.87	404962.0	6.13
p1k_00948	5146046.0	4365940.0	84.84	780106.0	15.16
p1k_00949	5928802.0	5612703.0	94.67	316099.0	5.33
p1k_00950	10619132.0	9340157.0	87.96	1278975.0	12.04
p1k_00951	3831910.0	3633809.0	94.83	198101.0	5.17
p1k_00952	2764736.0	2674200.0	96.73	90536.0	3.27
p1k_00953	7415456.0	6971910.0	94.02	443546.0	5.98
p1k_00954	8140183.0	7229827.0	88.82	910356.0	11.18
p1k_00955	6987825.0	6642831.0	95.06	344994.0	4.94
p1k_00956	4143057.0	3918656.0	94.58	224401.0	5.42
p1k_00957	5166352.0	4919677.0	95.23	246675.0	4.77
p1k_00958	12099455.0	10676955.0	88.24	1422500.0	11.76
p1k_00959	1452977.0	1133672.0	78.02	319305.0	21.98
p1k_00960	1761410.0	1427150.0	81.02	334260.0	18.98
p1k_00961	12452169.0	10957488.0	88.0	1494681.0	12.0
p1k_00962	2431655.0	2324175.0	95.58	107480.0	4.42
p1k_00963	1454213.0	1382088.0	95.04	72125.0	4.96
p1k_00964	1789551.0	1697558.0	94.86	91993.0	5.14
p1k_00965	2736275.0	2595103.0	94.84	141172.0	5.16
p1k_00966	2017297.0	1567085.0	77.68	450212.0	22.32
p1k_00967	13730970.0	11866664.0	86.42	1864306.0	13.58
p1k_00968	3461363.0	3213799.0	92.85	247564.0	7.15
p1k_00969	4013169.0	3765145.0	93.82	248024.0	6.18
p1k_00970	3546869.0	3378530.0	95.25	168339.0	4.75
p1k_00971	4481983.0	4301382.0	95.97	180601.0	4.03
p1k_00972	10220839.0	7231345.0	70.75	2989494.0	29.25
p1k_00973	6898250.0	6501546.0	94.25	396704.0	5.75
p1k_00974	1815013.0	1763385.0	97.16	51628.0	2.84
p1k_00975	5427120.0	5136929.0	94.65	290191.0	5.35
p1k_00976	2130137.0	2051979.0	96.33	78158.0	3.67
p1k_00977	5686802.0	5311377.0	93.4	375425.0	6.6
p1k_00978	6635365.0	6087699.0	91.75	547666.0	8.25
p1k_00979	5970659.0	5640206.0	94.47	330453.0	5.53
p1k_00980	5988154.0	5683177.0	94.91	304977.0	5.09
p1k_00981	5549423.0	5221310.0	94.09	328113.0	5.91
p1k_00982	1564742.0	1513721.0	96.74	51021.0	3.26
p1k_00983	4880822.0	4645073.0	95.17	235749.0	4.83
p1k_00984	3526819.0	3186457.0	90.35	340362.0	9.65
p1k_00985	3503214.0	3354859.0	95.77	148355.0	4.23
p1k_00986	2773807.0	2655251.0	95.73	118556.0	4.27
p1k_00987	3559223.0	3401694.0	95.57	157529.0	4.43
p1k_00988	11716562.0	10380509.0	88.6	1336053.0	11.4
p1k_00989	1116577.0	886889.0	79.43	229688.0	20.57
p1k_00990	1878301.0	1749550.0	93.15	128751.0	6.85
p1k_00991	13772421.0	12241486.0	88.88	1530935.0	11.12
p1k_00992	4061975.0	3719521.0	91.57	342454.0	8.43
p1k_00993	2409588.0	2108867.0	87.52	300721.0	12.48
p1k_00994	2633408.0	2512648.0	95.41	120760.0	4.59
p1k_00995	5814780.0	5585291.0	96.05	229489.0	3.95
p1k_00996	1588901.0	1358366.0	85.49	230535.0	14.51
p1k_00997	13469345.0	11819735.0	87.75	1649610.0	12.25
p1k_00998	11271148.0	9955548.0	88.33	1315600.0	11.67
p1k_00999	2600379.0	2399184.0	92.26	201195.0	7.74
p1k_01000	14598256.0	12892790.0	88.32	1705466.0	11.68
p1k_01001	5137822.0	4776141.0	92.96	361681.0	7.04
p1k_01002	8439710.0	7909037.0	93.71	530673.0	6.29
p1k_01003	2384706.0	2270334.0	95.2	114372.0	4.8
p1k_01004	2727167.0	2598133.0	95.27	129034.0	4.73
p1k_01005	2912582.0	2769634.0	95.09	142948.0	4.91
p1k_01006	2682576.0	2541977.0	94.76	140599.0	5.24
p1k_01007	4212744.0	4037636.0	95.84	175108.0	4.16
p1k_01008	10615870.0	9404590.0	88.59	1211280.0	11.41
p1k_01009	3628703.0	3350648.0	92.34	278055.0	7.66
p1k_01010	3910960.0	3639853.0	93.07	271107.0	6.93
p1k_01011	2609385.0	2489480.0	95.4	119905.0	4.6
p1k_01012	2376094.0	2242549.0	94.38	133545.0	5.62
p1k_01013	3501193.0	3249342.0	92.81	251851.0	7.19
p1k_01014	2091823.0	2024304.0	96.77	67519.0	3.23
p1k_01015	2843912.0	2633860.0	92.61	210052.0	7.39
p1k_01016	2273170.0	2172744.0	95.58	100426.0	4.42
p1k_01017	9257844.0	8887352.0	96.0	370492.0	4.0
p1k_01018	2345180.0	2151702.0	91.75	193478.0	8.25
p1k_01019	2320699.0	2239763.0	96.51	80936.0	3.49
p1k_01020	6188028.0	5737554.0	92.72	450474.0	7.28
p1k_01021	1689484.0	1637987.0	96.95	51497.0	3.05
p1k_01022	2139343.0	2064100.0	96.48	75243.0	3.52
p1k_01023	2783679.0	2689979.0	96.63	93700.0	3.37
p1k_01024	2082379.0	2011079.0	96.58	71300.0	3.42
p1k_01025	3053213.0	2960139.0	96.95	93074.0	3.05
p1k_01026	2589535.0	1571875.0	60.7	1017660.0	39.3
p1k_01027	2706515.0	2573747.0	95.09	132768.0	4.91
p1k_01028	2061656.0	1965256.0	95.32	96400.0	4.68
p1k_01029	2556814.0	2435518.0	95.26	121296.0	4.74
p1k_01030	3229343.0	3080864.0	95.4	148479.0	4.6
p1k_01031	10816425.0	9613161.0	88.88	1203264.0	11.12
p1k_01032	4079304.0	3784677.0	92.78	294627.0	7.22
p1k_01033	4558455.0	4203156.0	92.21	355299.0	7.79
p1k_01034	4550925.0	4231740.0	92.99	319185.0	7.01
p1k_01035	1663710.0	1600871.0	96.22	62839.0	3.78
p1k_01036	3437171.0	3180555.0	92.53	256616.0	7.47
p1k_01037	4027104.0	3738809.0	92.84	288295.0	7.16
p1k_01038	2747407.0	2657963.0	96.74	89444.0	3.26
p1k_01039	1219759.0	1180890.0	96.81	38869.0	3.19
p1k_01040	1777050.0	1719168.0	96.74	57882.0	3.26
p1k_01041	2665503.0	2502778.0	93.9	162725.0	6.1
p1k_01042	3139670.0	2930746.0	93.35	208924.0	6.65
p1k_01043	3097774.0	2958315.0	95.5	139459.0	4.5
p1k_01044	2587013.0	2212539.0	85.52	374474.0	14.48
p1k_01045	2694047.0	2491393.0	92.48	202654.0	7.52
p1k_01046	3060293.0	2833086.0	92.58	227207.0	7.42
p1k_01047	5964931.0	5481819.0	91.9	483112.0	8.1
p1k_01048	2093275.0	1967249.0	93.98	126026.0	6.02
p1k_01049	1957609.0	1878843.0	95.98	78766.0	4.02
p1k_01050	954469.0	908701.0	95.2	45768.0	4.8
p1k_01051	959218.0	912619.0	95.14	46599.0	4.86
p1k_01052	2035292.0	1396160.0	68.6	639132.0	31.4
p1k_01053	2634490.0	2512224.0	95.36	122266.0	4.64
p1k_01054	5000103.0	4799100.0	95.98	201003.0	4.02
p1k_01055	3350525.0	3214322.0	95.93	136203.0	4.07
